函数名,独占样本数,独占样本数百分比,非独占样本数,非独占样本数百分比,源行开始,源字符开始,源行结束,源字符结束,
"std::_Iterator012<std::random_access_iterator_tag,std::_Tgt_state_t<char const *>::_Grp_t,int,std::_Tgt_state_t<char const *>::_Grp_t const *,std::_Tgt_state_t<char const *>::_Grp_t const &,std::_Iterator_base12>::~_Iterator012<std::random_access_iterator_tag,std::_Tgt_state_t<char const *>::_Grp_t,int,std::_Tgt_state_t<char const *>::_Grp_t const *,std::_Tgt_state_t<char const *>::_Grp_t const &,std::_Iterator_base12>",15,0.20,53,0.72,0,0,0,0,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Insert_nohint<AutoCompleteManager::Entry,std::_Nil>",15,0.20,59,0.80,"1,797",0,"1,797",0,
"std::vector<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::size",15,0.20,15,0.20,"1,147",0,"1,147",0,
"?AllocBuffer@wxStringBase@@IAE_NI@Z",14,0.19,80,1.08,0,0,0,0,
"std::_Allocate<unsigned int>",14,0.19,30,0.41,28,0,28,0,
"std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<std::_Tgt_state_t<char const *>::_Grp_t> > >::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<std::_Tgt_state_t<char const *>::_Grp_t> > >",14,0.19,74,1.00,0,0,0,0,
"std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >::~_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >",14,0.19,87,1.18,0,0,0,0,
"std::allocator<std::_Container_proxy>::deallocate",14,0.19,14,0.19,572,0,572,0,
"wxStringBase::Init",14,0.19,14,0.19,270,0,270,0,
"?IsShared@wxStringData@@QBE_NXZ",13,0.18,13,0.18,0,0,0,0,
"std::_Vb_iter_base<std::_Wrap_alloc<std::allocator<unsigned int> > >::_Vb_iter_base<std::_Wrap_alloc<std::allocator<unsigned int> > >",13,0.18,34,0.46,"1,872",0,"1,872",0,
"std::_Wrap_alloc<std::allocator<std::_Container_proxy> >::allocate",13,0.18,13,0.18,846,0,846,0,
"std::allocator<unsigned int>::max_size",13,0.18,13,0.18,611,0,611,0,
"std::_Debug_lt_pred<std::less<AutoCompleteManager::Entry>,AutoCompleteManager::Entry const &,AutoCompleteManager::Entry const &>",12,0.16,465,6.29,521,0,521,0,
"std::_Iterator_base12::_Adopt",12,0.16,81,1.10,163,0,163,0,
"std::_Iterator_base12::_Orphan_me",12,0.16,12,0.16,194,0,194,0,
"std::_Ptr_cat<unsigned int,unsigned int>",12,0.16,12,0.16,444,0,444,0,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Kfn",12,0.16,16,0.22,"2,236",0,"2,236",0,
