函数名,非独占样本数,独占样本数,非独占样本数百分比,独占样本数百分比,
"std::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> >::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> >",7,7,0.09,0.09,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Eos",13,7,0.18,0.09,
"std::vector<std::_Loop_vals_t,std::allocator<std::_Loop_vals_t> >::size",7,7,0.09,0.09,
"std::vector<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::_Tidy",129,7,1.75,0.09,
"std::vector<unsigned int,std::allocator<bool> >::_Destroy",52,7,0.70,0.09,
"std::vector<unsigned int,std::allocator<bool> >::max_size",54,7,0.73,0.09,
"wxStrlen",9,7,0.12,0.09,
"?data@wxStringData@@QBEPADXZ",6,6,0.08,0.08,
"?GetWBack@wxInputStream@@IAEIPAXI@Z",68,6,0.92,0.08,
"?Lower@wxString@@QBE?AV1@XZ",377,6,5.10,0.08,
"AutoCompleteManager::BuildFromFile","2,679",6,36.25,0.08,
"IsSpace",24,6,0.32,0.08,
"std::_Buf<char>::_Insert",27,6,0.37,0.08,
"std::_Builder<char const *,char,std::regex_traits<char> >::_Add_char_to_array",43,6,0.58,0.08,
"std::_Iterator012<std::random_access_iterator_tag,char,int,char const *,char const &,std::_Iterator_base12>::_Iterator012<std::random_access_iterator_tag,char,int,char const *,char const &,std::_Iterator_base12>",8,6,0.11,0.08,
"std::_Matcher<char const *,char,std::regex_traits<char>,char const *>::_Do_class",9,6,0.12,0.08,
"std::_Node_class<char,std::regex_traits<char> >::_Tidy",7,6,0.09,0.08,
"std::_Node_class<char,std::regex_traits<char> >::~_Node_class<char,std::regex_traits<char> >",50,6,0.68,0.08,
"std::_String_const_iterator<std::_String_val<std::_Simple_types<char> > >::_String_const_iterator<std::_String_val<std::_Simple_types<char> > >",34,6,0.46,0.08,
"std::_Tgt_state_t<char const *>::~_Tgt_state_t<char const *>",519,6,7.02,0.08,
"std::_Tree_alloc<0,std::_Tree_base_types<wxString,std::allocator<wxString> > >::_Getal",24,6,0.32,0.08,
"std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >",67,6,0.91,0.08,
"std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >::operator==",12,6,0.16,0.08,
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >,std::_Iterator_base12>::_Mynode",6,6,0.08,0.08,
"std::_Tree_val<std::_Tree_simple_types<wxString> >::_Parent",6,6,0.08,0.08,
"std::_Tree<std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >::_Root",10,6,0.14,0.08,
"std::_Unchecked<std::_Tgt_state_t<char const *>::_Grp_t *>",6,6,0.08,0.08,
"std::_Unchecked<std::_Vector_val<std::_Simple_types<unsigned int> > >",52,6,0.70,0.08,
"std::_Vb_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >::operator+=",10,6,0.14,0.08,
"std::_Vector_alloc<0,std::_Vec_base_types<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> > >::~_Vector_alloc<0,std::_Vec_base_types<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> > >",87,6,1.18,0.08,
"std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >::_Unchecked",6,6,0.08,0.08,
"std::_Wrap_alloc<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::destroy<std::_Tgt_state_t<char const *>::_Grp_t>",18,6,0.24,0.08,
"std::_Wrap_alloc<std::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> > >::_Wrap_alloc<std::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> > >",13,6,0.18,0.08,
"std::_Wrap_alloc<std::allocator<unsigned int> >::_Wrap_alloc<std::allocator<unsigned int> >",7,6,0.09,0.08,
"std::addressof<unsigned int const >",6,6,0.08,0.08,
"std::allocator<std::_Tgt_state_t<char const *>::_Grp_t>::deallocate",53,6,0.72,0.08,
"std::operator==<unsigned int,unsigned int>",6,6,0.08,0.08,
"wxString::operator=",86,6,1.16,0.08,
"AutoCompleteManager::Entry::~Entry",211,5,2.85,0.07,
"GetToken",331,5,4.48,0.07,
"std::_Bt_state_t<char const *>::operator=",110,5,1.49,0.07,
"std::_Copy_impl<unsigned int *,unsigned int *>",22,5,0.30,0.07,
