函数名,独占样本数,独占样本数百分比,指令地址,源行开始,源字符开始,源行结束,源字符结束,
"std::_Vb_iter_base<std::_Wrap_alloc<std::allocator<unsigned int> > >::_Vb_iter_base<std::_Wrap_alloc<std::allocator<unsigned int> > >",10,0.14,0x0177DA0D,0,0,0,0,
"std::_Vb_iter_base<std::_Wrap_alloc<std::allocator<unsigned int> > >::_Vb_iter_base<std::_Wrap_alloc<std::allocator<unsigned int> > >",10,0.14,0x0177DA9B,"1,872",0,"1,872",0,
"std::_Vb_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >::_Vb_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >",10,0.14,0x0177DB4D,0,0,0,0,
"std::_Wrap_alloc<std::allocator<std::_Container_proxy> >::deallocate",10,0.14,0x0168E90D,857,0,857,0,
"std::vector<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::size",10,0.14,0x01799E2D,"1,147",0,"1,147",0,
"AutoCompleteManager::Entry::operator<",9,0.12,0x0168611A,39,0,39,0,
"std::_Iterator012<std::random_access_iterator_tag,bool,int,bool *,bool,std::_Iterator_base12>::_Iterator012<std::random_access_iterator_tag,bool,int,bool *,bool,std::_Iterator_base12>",9,0.12,0x0177CACD,0,0,0,0,
"std::_String_val<std::_Simple_types<char> >::_Myptr",9,0.12,0x016816BD,510,0,510,0,
"std::_Tree_alloc<0,std::_Tree_base_types<AutoCompleteManager::Entry,std::allocator<AutoCompleteManager::Entry> > >::_Getal",9,0.12,0x0168756D,868,0,868,0,
"std::_Vb_const_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >::_Vb_const_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >",9,0.12,0x0177D93D,0,0,0,0,
"std::_Wrap_alloc<std::allocator<std::_Container_proxy> >::_Wrap_alloc<std::allocator<std::_Container_proxy> ><std::allocator<bool> >",9,0.12,0x0176FC5D,817,0,817,0,
"std::allocator_traits<std::allocator<std::_Container_proxy> >::destroy<std::_Container_proxy>",9,0.12,0x0168B10C,728,0,728,0,
"std::allocator<std::_Container_proxy>::destroy<std::_Container_proxy>",9,0.12,0x01679C0D,605,0,605,0,
"std::allocator<std::_Tree_node<wxString,void *> >::allocator<std::_Tree_node<wxString,void *> >",9,0.12,0x0177EB0D,552,0,552,0,
"wxStringBase::c_str",9,0.12,0x01688576,527,0,527,0,
"wxStringBase::GetStringData",9,0.12,0x0167FA56,265,0,265,0,
"[MSVCR120D.dll]",8,0.11,0x0F1042B8,0,0,0,0,
"[ntdll.dll]",8,0.11,0x77651C9F,0,0,0,0,
"[ntdll.dll]",8,0.11,0x77651CA9,0,0,0,0,
"_RTC_CheckStackVars",8,0.11,0x01B41FC5,74,0,74,0,
"std::_Allocate<std::_Container_proxy>",8,0.11,0x016796EC,22,0,22,0,
"std::_Destroy_range<std::_Wrap_alloc<std::allocator<unsigned int> > >",8,0.11,0x0168965C,95,0,95,0,
"std::_Iterator_base12::_Orphan_me",8,0.11,0x01687C62,206,0,206,0,
"std::_Iterator012<std::random_access_iterator_tag,unsigned int,int,unsigned int const *,unsigned int const &,std::_Iterator_base12>::_Iterator012<std::random_access_iterator_tag,unsigned int,int,unsigned int const *,unsigned int const &,std::_Iterator_base12>",8,0.11,0x0168B79D,0,0,0,0,
"std::_Node_class<char,std::regex_traits<char> >::`scalar deleting destructor'",8,0.11,0x017848BC,0,0,0,0,
"std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >::~_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >",8,0.11,0x016851CD,0,0,0,0,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Root",8,0.11,0x01687F1D,"2,152",0,"2,152",0,
"std::_Wrap_alloc<std::allocator<std::_Container_proxy> >::allocate",8,0.11,0x016882ED,846,0,846,0,
"std::_Wrap_alloc<std::allocator<std::_Container_proxy> >::destroy<std::_Container_proxy>",8,0.11,0x0168B0AD,877,0,877,0,
"std::allocator<bool>::allocator<bool><unsigned int>",8,0.11,0x0176F7BD,561,0,561,0,
"[kernel32.dll]",7,0.09,0x755D149B,0,0,0,0,
"[MSVCP120D.dll]",7,0.09,0x0F5ADF7E,0,0,0,0,
"[MSVCP120D.dll]",7,0.09,0x0F60AF15,0,0,0,0,
"[MSVCR120D.dll]",7,0.09,0x0F104282,0,0,0,0,
"[ntdll.dll]",7,0.09,0x776122CD,0,0,0,0,
"[ntdll.dll]",7,0.09,0x77622582,0,0,0,0,
"[ntdll.dll]",7,0.09,0x77628D47,0,0,0,0,
"_RTC_CheckEsp",7,0.09,0x01B42012,25,0,25,0,
"_RTC_CheckStackVars",7,0.09,0x01B41FB1,69,0,69,0,
"IsSymbol",7,0.09,0x0179EDDC,31,0,31,0,
"std::_Buf<char>::_Expand",7,0.09,0x0178C396,"1,577",0,"1,577",0,
"std::_Buf<char>::~_Buf<char>",7,0.09,0x017802A2,"1,529",0,"1,529",0,
"std::_Container_proxy::_Container_proxy",7,0.09,0x0167B90D,68,0,68,0,
"std::_String_const_iterator<std::_String_val<std::_Simple_types<char> > >::~_String_const_iterator<std::_String_val<std::_Simple_types<char> > >",7,0.09,0x0169EBBD,0,0,0,0,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Kfn",7,0.09,0x0168778F,"2,236",0,"2,236",0,
"std::_Vector_alloc<0,std::_Vec_base_types<unsigned int,std::allocator<bool> > >::_Vector_alloc<0,std::_Vec_base_types<unsigned int,std::allocator<bool> > >",7,0.09,0x0177DF5B,601,0,601,0,
"std::allocator<std::_Loop_vals_t>::allocator<std::_Loop_vals_t>",7,0.09,0x0177EBCD,552,0,552,0,
"std::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> >::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> >",7,0.09,0x01684C7D,552,0,552,0,
"std::allocator<unsigned int>::allocator<unsigned int>",7,0.09,0x0168BCAD,556,0,556,0,
"std::vector<unsigned int,std::allocator<bool> >::~vector<unsigned int,std::allocator<bool> >",7,0.09,0x0178129D,944,0,944,0,
"[MSVCP120D.dll]",6,0.08,0x0F5ADEAF,0,0,0,0,
"[MSVCP120D.dll]",6,0.08,0x0F5ADF20,0,0,0,0,
"[MSVCR120D.dll]",6,0.08,0x0F1AAA4C,0,0,0,0,
"[ntdll.dll]",6,0.08,0x776122B1,0,0,0,0,
"[ntdll.dll]",6,0.08,0x77628D40,0,0,0,0,
"_RTC_CheckStackVars",6,0.08,0x01B41FBD,74,0,74,0,
"std::_Allocate<std::_Tgt_state_t<char const *>::_Grp_t>",6,0.08,0x0177001C,22,0,22,0,
"std::_Builder<char const *,char,std::regex_traits<char> >::_Add_class",6,0.08,0x01786619,"3,681",0,"3,681",0,
"std::_Builder<char const *,char,std::regex_traits<char> >::_Add_range",6,0.08,0x01786CDB,"3,730",0,"3,730",0,
"std::_Builder<char const *,char,std::regex_traits<char> >::_Add_range",6,0.08,0x01786D7F,"3,742",0,"3,742",0,
"std::_Builder<char const *,char,std::regex_traits<char> >::_Link_node",6,0.08,0x0178EBED,"3,592",0,"3,592",0,
"std::_Iterator_base12::_Iterator_base12",6,0.08,0x016850BC,119,0,119,0,
"std::_Iterator_base12::_Orphan_me",6,0.08,0x01687BC0,192,0,192,0,
"std::_Node_base::~_Node_base",6,0.08,0x0178158D,"1,640",0,"1,640",0,
"std::_Rechecked<std::_Tgt_state_t<char const *>::_Grp_t *,std::_Tgt_state_t<char const *>::_Grp_t *>",6,0.08,0x017758AC,288,0,288,0,
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >,std::_Iterator_base12>::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >,std::_Iterator_base12>",6,0.08,0x01684A6D,0,0,0,0,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Insert_nohint<AutoCompleteManager::Entry,std::_Nil>",6,0.08,0x01683730,"1,785",0,"1,785",0,
"std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<std::_Tgt_state_t<char const *>::_Grp_t> > >::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<std::_Tgt_state_t<char const *>::_Grp_t> > >",6,0.08,0x0177E3FD,0,0,0,0,
"std::_Wrap_alloc<std::allocator<std::_Loop_vals_t> >::_Wrap_alloc<std::allocator<std::_Loop_vals_t> >",6,0.08,0x0177EA0D,801,0,801,0,
"std::_Wrap_alloc<std::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> > >::_Wrap_alloc<std::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> > >",6,0.08,0x01684C1D,801,0,801,0,
"std::_Wrap_alloc<std::allocator<std::_Tree_node<wxString,void *> > >::_Wrap_alloc<std::allocator<std::_Tree_node<wxString,void *> > >",6,0.08,0x0177E8ED,801,0,801,0,
"std::allocator<std::_Tgt_state_t<char const *>::_Grp_t>::allocator<std::_Tgt_state_t<char const *>::_Grp_t>",6,0.08,0x0177EB4D,556,0,556,0,
